Item ID,Item meta,Has NBT,Display Name
1,0,false,Stone
2,0,false,Grass Block
3,0,false,Dirt
3,1,false,Dirt
3,2,false,Dirt
3,3,false,Dirt
3,4,false,Dirt
3,5,false,Dirt
3,6,false,Dirt
3,7,false,Dirt
3,8,false,Dirt
3,9,false,Dirt
3,10,false,Dirt
3,11,false,Dirt
3,12,false,Dirt
3,13,false,Dirt
4,0,false,Cobblestone
4,1,false,Cobblestone
4,2,false,Cobblestone
4,3,false,Cobblestone
4,4,false,Cobblestone
4,5,false,Cobblestone
4,6,false,Cobblestone
4,7,false,Cobblestone
4,8,false,Cobblestone
4,9,false,Cobblestone
4,10,false,Cobblestone
4,11,false,Cobblestone
4,12,false,Cobblestone
4,13,false,Cobblestone
4,14,false,Cobblestone
4,15,false,Cobblestone
5,0,false,Oak Wood Planks
5,1,false,Spruce Wood Planks
5,2,false,Birch Wood Planks
5,3,false,Jungle Wood Planks
6,0,false,Oak Sapling
6,1,false,Spruce Sapling
6,2,false,Birch Sapling
6,3,false,Jungle Sapling
8,0,false,Water
9,0,false,Water
10,0,false,Lava
11,0,false,Lava
12,0,false,Sand
13,0,false,Gravel
14,0,false,Gold Ore
15,0,false,Iron Ore
16,0,false,Coal Ore
17,0,false,Oak Wood
17,1,false,Spruce Wood
17,2,false,Birch Wood
17,3,false,Jungle Wood
18,0,false,Oak Leaves
18,1,false,Spruce Leaves
18,2,false,Birch Leaves
18,3,false,Jungle Leaves
19,0,false,Sponge
20,0,false,Glass
20,1,false,Glass
20,2,false,Glass
20,3,false,Glass
20,4,false,Glass
20,5,false,Glass
20,6,false,Glass
20,7,false,Glass
20,8,false,Glass
20,9,false,Glass
20,10,false,Glass
20,11,false,Glass
20,12,false,Glass
20,13,false,Glass
20,14,false,Glass
20,15,false,Glass
21,0,false,Lapis Lazuli Ore
22,0,false,Lapis Lazuli Block
22,1,false,Lapis Lazuli Block
22,2,false,Lapis Lazuli Block
22,3,false,Lapis Lazuli Block
22,4,false,Lapis Lazuli Block
22,5,false,Lapis Lazuli Block
22,6,false,Lapis Lazuli Block
22,7,false,Lapis Lazuli Block
22,8,false,Lapis Lazuli Block
23,0,false,Dispenser
24,0,false,Sandstone
24,1,false,Sandstone
24,2,false,Sandstone
24,3,false,Sandstone
24,4,false,Sandstone
24,5,false,Sandstone
24,6,false,Sandstone
24,7,false,Sandstone
24,8,false,Sandstone
24,9,false,Sandstone
24,10,false,Sandstone
24,11,false,Sandstone
24,12,false,Sandstone
24,13,false,Sandstone
24,14,false,Sandstone
24,15,false,Sandstone
25,0,false,Note Block
27,0,false,Booster Track
28,0,false,Detector Track
29,0,false,Sticky Piston
30,0,false,Cobweb
31,1,false,Grass
31,2,false,Fern
32,0,false,Dead Bush
33,0,false,Piston
35,0,false,Wool
35,1,false,Orange Wool
35,2,false,Magenta Wool
35,3,false,Light Blue Wool
35,4,false,Yellow Wool
35,5,false,Lime Wool
35,6,false,Pink Wool
35,7,false,Gray Wool
